Instancia,Percentil,Distancia greedy,Distancia LP,Mejora relativa,Tiempo LP,Numero de asignaciones no factibles
input/large_0.csv,85,917.9000000000004,706.5999999999998,29.90376450608558,1.0429837703704834,0
input/large_0.csv,90,917.9000000000004,706.5000000000002,29.922151450813892,0.9436612129211426,0
input/large_1.csv,85,988.2,773.9999999999998,27.67441860465121,0.7840008735656738,0
input/large_1.csv,90,988.2,773.8999999999995,27.690916139036133,1.0909929275512695,0
input/large_2.csv,80,736.8999999999997,599.5000000000003,22.91909924937437,0.7887842655181885,0
input/large_2.csv,85,736.8999999999997,599.5000000000002,22.91909924937439,0.8162257671356201,0
input/large_2.csv,90,736.8999999999997,599.5000000000006,22.91909924937432,1.024893045425415,0
input/large_3.csv,85,844.5000000000002,731.0000000000005,15.526675786593668,0.838892936706543,0
input/large_3.csv,90,844.5000000000002,730.900000000001,15.542481871664945,0.924745798110962,0
input/large_4.csv,85,844.2000000000003,727.1000000000001,16.1050749553019,2.2891042232513428,0
input/large_4.csv,90,844.2000000000003,727.0000000000006,16.121045392021955,1.1757287979125977,0
input/large_5.csv,90,795.7,635.6000000000003,25.18879798615477,1.6369311809539795,0
input/large_6.csv,90,793.7,676.3000000000003,17.35916013603426,0.8151271343231201,0
input/large_7.csv,85,867.8000000000003,681.8999999999999,27.262061885907094,1.4506309032440186,0
input/large_7.csv,90,867.8000000000003,681.7,27.299398562417522,2.016552209854126,0
input/large_8.csv,90,944.9,825.6999999999999,14.436235921036701,0.7741210460662842,0
input/large_9.csv,90,762.1999999999999,659.0999999999998,15.6425428614778,1.1135821342468262,0
input/medium_0.csv,80,408.7,329.70000000000005,23.961176827418846,0.0616240501403808,0
input/medium_0.csv,85,408.7,329.5999999999999,23.99878640776702,0.0761432647705078,0
input/medium_0.csv,90,408.7,329.49999999999994,24.036418816388487,0.0798456668853759,0
input/medium_1.csv,85,380.0,344.2,10.400929692039515,0.0863971710205078,0
input/medium_1.csv,90,380.0,344.2,10.400929692039515,0.0720360279083252,0
input/medium_2.csv,90,307.70000000000005,241.49999999999991,27.412008281573563,0.0612971782684326,0
input/medium_3.csv,80,380.1,317.5,19.71653543307087,0.1377460956573486,0
input/medium_3.csv,85,380.1,317.4000000000001,19.754253308128515,0.0809347629547119,0
input/medium_3.csv,90,380.1,317.4000000000001,19.754253308128515,0.0699629783630371,0
input/medium_4.csv,90,279.2000000000001,234.9,18.859088974031543,0.1145038604736328,0
input/medium_5.csv,85,398.5,341.6999999999999,16.622768510389275,0.0670928955078125,0
input/medium_5.csv,90,398.5,341.6999999999999,16.622768510389275,0.0686678886413574,0
input/medium_6.csv,90,323.09999999999997,250.9,28.776404942208035,0.0644559860229492,0
input/medium_7.csv,90,325.5,260.00000000000006,25.192307692307665,0.0624558925628662,0
input/medium_8.csv,80,271.29999999999995,227.6,19.200351493848842,0.0642120838165283,0
input/medium_8.csv,85,271.29999999999995,227.60000000000008,19.200351493848796,0.0614898204803466,0
input/medium_8.csv,90,271.29999999999995,227.60000000000005,19.20035149384881,0.0641727447509765,0
input/medium_9.csv,80,299.0,258.8,15.533230293663056,0.0703747272491455,0
input/medium_9.csv,85,299.0,258.7000000000001,15.577889447236137,0.0795569419860839,0
input/medium_9.csv,90,299.0,258.7,15.577889447236185,0.0893170833587646,0
input/small_0.csv,80,36.9,29.299999999999997,25.93856655290103,0.0019068717956542,0
input/small_0.csv,85,36.9,29.299999999999997,25.93856655290103,0.001601219177246,0
input/small_0.csv,90,36.9,29.299999999999997,25.93856655290103,0.0014479160308837,0
input/small_1.csv,80,42.4,32.4,30.8641975308642,0.0014152526855468,0
input/small_1.csv,85,42.4,32.400000000000006,30.86419753086417,0.0013267993927001,0
input/small_1.csv,90,42.4,32.400000000000006,30.86419753086417,0.0017552375793457,0
input/small_2.csv,80,65.60000000000001,56.9,15.289982425307576,0.0014820098876953,0
input/small_2.csv,85,65.60000000000001,56.9,15.289982425307576,0.003342866897583,0
input/small_2.csv,90,65.60000000000001,56.90000000000001,15.289982425307546,0.0026440620422363,0
input/small_3.csv,80,29.500000000000004,23.7,24.472573839662466,0.0018301010131835,0
input/small_3.csv,85,29.500000000000004,23.7,24.472573839662466,0.0024518966674804,0
input/small_3.csv,90,29.500000000000004,23.7,24.472573839662466,0.0015699863433837,0
input/small_4.csv,80,33.9,30.800000000000004,10.064935064935046,0.0015501976013183,0
input/small_4.csv,85,33.9,30.800000000000004,10.064935064935046,0.0023989677429199,0
input/small_4.csv,90,33.9,30.800000000000004,10.064935064935046,0.0023190975189208,0
input/small_5.csv,85,63.599999999999994,54.39999999999999,16.91176470588236,0.0012967586517333,0
input/small_5.csv,90,63.599999999999994,54.39999999999999,16.91176470588236,0.0015351772308349,0
input/small_6.csv,85,44.9,41.0,9.512195121951217,0.0016329288482666,0
input/small_6.csv,90,44.9,41.0,9.512195121951217,0.0012760162353515,0
input/small_7.csv,85,56.3,46.89999999999999,20.042643923240956,0.0012838840484619,0
input/small_7.csv,90,56.3,46.89999999999999,20.042643923240956,0.0016460418701171,0
input/small_8.csv,80,38.1,35.50000000000001,7.323943661971813,0.0040938854217529,0
input/small_8.csv,85,38.1,35.50000000000001,7.323943661971813,0.0030651092529296,0
input/small_8.csv,90,38.1,35.50000000000001,7.323943661971813,0.0015618801116943,0
input/small_9.csv,80,58.099999999999994,49.7,16.901408450704206,0.0012381076812744,0
input/small_9.csv,85,58.099999999999994,49.7,16.901408450704206,0.0012180805206298,0
input/small_9.csv,90,58.099999999999994,49.7,16.901408450704206,0.00126314163208,0
input/xl_0.csv,85,1655.3,1371.1999999999985,20.719078179696748,5.52023720741272,0
input/xl_0.csv,90,1655.3,1371.1999999999996,20.71907817969665,4.761595964431763,0
input/xl_1.csv,80,1605.1,1413.500000000001,13.555005305977987,5.079698085784912,0
input/xl_1.csv,85,1605.1,1412.7999999999995,13.61126840317104,8.6636221408844,0
input/xl_1.csv,90,1605.1,1412.7999999999995,13.61126840317104,3.5935218334198,0
input/xl_2.csv,85,1486.899999999999,1270.7000000000005,17.01424411741547,5.503331184387207,0
input/xl_2.csv,90,1486.899999999999,1270.5999999999997,17.023453486541737,6.04804801940918,0
input/xl_3.csv,85,1390.2000000000005,1174.7000000000012,18.345109389631318,3.551735162734986,0
input/xl_3.csv,90,1390.2000000000005,1174.4000000000003,18.37534059945505,6.887344837188721,0
input/xl_4.csv,85,1466.9999999999995,1291.8000000000002,13.562470970738453,6.376208305358887,0
input/xl_4.csv,90,1466.9999999999995,1291.6999999999998,13.571262677092184,4.2594921588897705,0
input/xl_5.csv,80,1441.5000000000005,1255.5999999999997,14.80567059573119,4.111288070678711,0
input/xl_5.csv,85,1441.5000000000005,1255.3999999999996,14.82396049068033,3.5100038051605225,0
input/xl_5.csv,90,1441.5000000000005,1255.3999999999992,14.823960490680372,4.80982780456543,0
input/xl_6.csv,85,1737.3999999999996,1522.0999999999992,14.14493134485254,5.262094974517822,0
input/xl_6.csv,90,1737.3999999999996,1521.8999999999985,14.159931664366997,4.880713939666748,0
input/xl_7.csv,85,1705.1,1417.4000000000008,20.297728234796033,4.121289968490601,0
input/xl_7.csv,90,1705.1,1417.4,20.297728234796093,4.936190128326416,0
input/xl_8.csv,90,1512.6999999999998,1243.5,21.64857257740248,4.720768928527832,0
input/xl_9.csv,85,1531.7000000000005,1309.5999999999988,16.95937690897999,4.223269939422607,0
input/xl_9.csv,90,1531.7000000000005,1309.4000000000003,16.97724148464947,3.803108930587769,0
